SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
010438,8001FC38,"j 0x801D9790",1C9F90,801D9790
1C9F90,801D9790,"lui $v1, 0x801D",,
1C9F94,801D9794,"lhu $v0, 626($gp)",,
1C9F98,801D9798,"sw $a0, -752($v1)",,
1C9F9C,801D979C,"sw $a1, -748($v1)",,
1C9FA0,801D97A0,"lui $v1, 0x800F",,
1C9FA4,801D97A4,"lw $v1, -24848($v1)",,
1C9FA8,801D97A8,"lbu $v1, 106($v1)",,
1C9FAC,801D97AC,"sll $a0, $v1, 3",,
1C9FB0,801D97B0,"subu $a0, $a0, $v1",,
1C9FB4,801D97B4,"sll $a0, $a0, 2",,
1C9FB8,801D97B8,"lui $v1, 0x801A",,
1C9FBC,801D97BC,"addiu $v1, $v1, 31448 [0x7AD8]",,
1C9FC0,801D97C0,"addu $a0, $a0, $v1",,
1C9FC4,801D97C4,"lhu $a0, 12($a0)",,
1C9FC8,801D97C8,"addiu $a1, $zero, 0 [0x0000]",,
1C9FCC,801D97CC,"lui $v1, 0x801E",,
1C9FD0,801D97D0,"addu $v1, $v1, $a1",,
1C9FD4,801D97D4,"lhu $v1, -26624($v1)",,
1C9FD8,801D97D8,"beq $v1, $a0, 8",1C9FFC,801D97FC
1C9FDC,801D97DC,"addiu $a1, $a1, 2 [0x0002]",,
1C9FE0,801D97E0,"slti $v1, $a1, 32 [0x0020]",,
1C9FE4,801D97E4,"bne $v1, $zero, -7",,
1C9FE8,801D97E8,"lui $v1, 0x801D",,
1C9FEC,801D97EC,"lw $a0, -752($v1)",,
1C9FF0,801D97F0,"lw $a1, -748($v1)",,
1C9FF4,801D97F4,"j 0x8001FC40",010440,8001FC40
010440,8001FC40,"lui $v1, 0x800F",,
010444,8001FC44,"j 0x801D97E4",1C9FE4,801D97E4
1C9FE4,801D97E4,"addiu $v0, $zero, -31744 [0x8400]",,
1C9FE8,801D97E8,"mtlo $s6",,
1C9FEC,801D97EC,"mtlo $fp",,
1C9FF0,801D97F0,"regimm rt=0x13 rs=$a2 imm=723",,
1C9FF4,801D97F4,"regimm rt=0x13 rs=$t6 imm=723",,
1C9FF8,801D97F8,"regimm rt=0x13 rs=$s6 imm=723",,
1C9FFC,801D97FC,"regimm rt=0x13 rs=$fp imm=723",,
1CA000,801D9800,"j 0x834C0B4C",34B134C,834C0B4C
34B134C,834C0B4C,"j 0x874C0B4C",74B134C,874C0B4C
